ds,yhat,yhat_lower,yhat_upper
2023-09-06,23822.031652002956,21497.73935842036,26241.799342908645
2023-09-07,23827.750378962097,21441.332752240265,26230.65371977368
2023-09-08,23631.010393489876,21200.570763397016,25958.74102236853
2023-09-09,23541.07319590993,21123.505588951277,25970.697214355943
2023-09-10,23555.734385703166,20910.862566627206,26237.980810730925
2023-09-11,23506.28597395266,21017.450952737996,25976.67092478258
2023-09-12,23306.362956630397,20954.462166789373,25698.28346334566
2023-09-13,23166.904082909725,20620.10003204281,25614.395718764954
2023-09-14,23205.35580484983,20783.646826509364,25503.122251614594
2023-09-15,23045.55295633736,20547.792554911135,25323.944104332153
2023-09-16,22995.91328764524,20505.28686973752,25566.912523489387
2023-09-17,23053.306440859866,20573.031786453532,25472.89505513715
2023-09-18,23048.042646691312,20561.70164740512,25691.394853109097
2023-09-19,22892.746726319736,20475.22530802606,25240.221488241026
2023-09-20,22797.34655830733,20385.313132957046,25226.038651027204
2023-09-21,22878.304228645735,20629.623911206098,25207.389574523542
2023-09-22,22758.522673892505,20411.469314883707,25095.53335961317
2023-09-23,22745.56424500233,20345.339777785226,25251.976789226184
2023-09-24,22835.541169946922,20274.568002447748,25062.526369126088
2023-09-25,22858.1226395255,20450.731833051745,25220.57718829182
2023-09-26,22725.4236652429,20242.45266316538,24931.37755825106
2023-09-27,22647.004532349285,20037.354584431494,25022.785174067387
2023-09-28,22739.10884569937,20232.835337853234,25022.64376233447
2023-09-29,22624.57287682768,20207.223834718192,24939.739968867998
2023-09-30,22611.042657630336,20192.072310335978,24911.519951811686
2023-10-01,22694.858932989373,20376.6545603455,25146.994084391452
2023-10-02,22706.05494128686,20320.60040044907,25070.836164321707
2023-10-03,22557.232517355893,20263.565294135107,25162.00080696264
2023-10-04,22458.545775864844,20086.116458155717,24895.001025066416
2023-10-05,22526.920882728355,20076.033597021597,24871.595122112634
2023-10-06,22385.945191820156,19957.76057644969,24908.926038735128
2023-10-07,22344.062802728742,20025.22909582801,24700.82936292969
2023-10-08,22398.43728542247,19913.05712089724,24854.14871679532
2023-10-09,22379.9271788511,20005.032241142475,24941.77438484894
2023-10-10,22201.94038225646,19598.059407365774,24525.803391804508
2023-10-11,22075.39729000926,19547.714701246623,24643.761240565167
2023-10-12,22117.931722517682,19425.809116611294,24591.067849186755
